slug,latin_name,common_name,category,family,genus,taxon_group,observations_count
holcus-lanatus,Holcus lanatus,Yorkshire-fog,plant,Poaceae,Holcus,10,9
impatiens-glandulifera,Impatiens glandulifera,Himalayan Balsam,plant,Balsaminaceae,Impatiens,10,9
malva-sylvestris-cultivar,Malva sylvestris (cultivar),"",plant,Malvaceae,Malva,10,9
merodon-equestris,Merodon equestris,Narcissus Bulb Fly,insect,Syrphidae,Merodon,18,9
neoitamus-cyanurus,Neoitamus cyanurus,Common Awl Robber Fly,insect,Asilidae,Neoitamus,18,9
nuphar-lutea,Nuphar lutea,Yellow Water-lily,plant,Nymphaeaceae,Nuphar,10,9
nycticorax-nycticorax,Nycticorax nycticorax,Black-crowned Night Heron,bird,Ardeidae,Nycticorax,1,9
oenothera-x-fallax-o-biennis-x-o-glazioviana,Oenothera x fallax (O. biennis x O. glazioviana),Intermediate Evening-Primrose,plant,Onagraceae,Oenothera,10,9
panorpa-vulgaris,Panorpa vulgaris,"",insect,Panorpidae,Panorpa,6,9
papaver-somniferum,Papaver somniferum,Opium Poppy,plant,Papaveraceae,Papaver,10,9
phleum-pratense,Phleum pratense,Timothy,plant,Poaceae,Phleum,10,9
pilosella-aurantiaca,Pilosella aurantiaca,Fox-and-cubs,plant,Asteraceae,Pilosella,10,9
potentilla-anserina,Potentilla anserina,Silverweed,plant,Rosaceae,Argentina,10,9
rhaphigaster-nebulosa,Rhaphigaster nebulosa,Mottled Shieldbug,insect,Pentatomidae,Rhaphigaster,15,9
scoparia-ambigualis,Scoparia ambigualis,"",insect,Crambidae,Scoparia,8,9
tanacetum-vulgare,Tanacetum vulgare,Tansy,plant,Asteraceae,Tanacetum,10,9
valeriana-officinalis,Valeriana officinalis,Common Valerian,plant,Caprifoliaceae,Valeriana,10,9
vicia-villosa,Vicia villosa,Fodder Vetch,plant,Fabaceae,Vicia,10,9
agriphila-straminella,Agriphila straminella,Pearl Veneer,insect,Crambidae,Agriphila,8,8
anthemis-tinctoria,Anthemis tinctoria,Yellow Chamomile,plant,Asteraceae,Cota,10,8
auplopus-carbonarius,Auplopus carbonarius,"",insect,Pompilidae,Auplopus,17,8
borkhausenia-nefrax,Borkhausenia nefrax,"",insect,Oecophoridae,Borkhausenia,8,8
catoptria-verellus,Catoptria verellus,"",insect,Crambidae,Catoptria,8,8
centaurea-cyanus,Centaurea cyanus,Cornflower,plant,Asteraceae,Centaurea,10,8
chelidonium-majus,Chelidonium majus,Greater Celandine,plant,Papaveraceae,Chelidonium,10,8
