slug,latin_name,taxon_group,family,genus,observations_count
exephanes-ischioxanthus,Exephanes ischioxanthus,17,Ichneumonidae,Exephanes,1
exetastes-adpressorius,Exetastes adpressorius,17,Ichneumonidae,Exetastes,1
fallopia-japonica-fallopia-sachalinensis-fallopia-x-bohemica,Fallopia japonica + Fallopia sachalinensis + Fallopia x bohemica,10,"","",1
fatsia,Fatsia,Plantae,Araliaceae,Fatsia,1
forcipomyia-paludis,Forcipomyia paludis,18,Ceratopogonidae,Forcipomyia,1
gambrus-carnifex,Gambrus carnifex,17,Ichneumonidae,Gambrus,1
ganoderma-resinaceum,Ganoderma resinaceum,11,Polyporaceae,Ganoderma,1
gelis-spec,Gelis spec.,17,Ichneumonidae,Gelis,1
gilpinia,Gilpinia,Insecta,Diprionidae,Gilpinia,1
gnophomyia,Gnophomyia,Insecta,Limoniidae,Gnophomyia,1
gnophomyia-tristissima,Gnophomyia tristissima,Insecta,Limoniidae,Gnophomyia,1
gonioctena-viminalis,Gonioctena viminalis,16,Chrysomelidae,Gonioctena,1
gyrinus,Gyrinus,Insecta,Gyrinidae,Gyrinus,1
harpalinae,Harpalinae,Insecta,Carabidae,"",1
harpalus-rubripes,Harpalus rubripes,16,Carabidae,Harpalus,1
hebecnema-spec,Hebecnema spec.,18,Muscidae,Hebecnema,1
hedobia-imperialis,Hedobia imperialis,16,Anobiidae,Ptinomorphus,1
hedychrum-gerstaeckeri,Hedychrum gerstaeckeri,17,Chrysididae,Hedychrum,1
helina-evecta,Helina evecta,Insecta,Muscidae,Helina,1
helina-spec,Helina spec.,18,Muscidae,Helina,1
heptatoma-pellucens,Heptatoma pellucens,18,Tabanidae,Heptatoma,1
hercostomus-rusticus,Hercostomus rusticus,18,Dolichopodidae,Hercostomus,1
hesperis,Hesperis,Plantae,Brassicaceae,Hesperis,1
hybos-femoratus,Hybos femoratus,18,Hybotidae,Hybos,1
hydrobius-fuscipes,Hydrobius fuscipes,16,Hydrophilidae,Hydrobius,1
ichneumoninae-indet,Ichneumoninae indet.,17,"","",1
idiocerini,Idiocerini,Insecta,"","",1
ilisia-maculata,Ilisia maculata,18,Limoniidae,Ilisia,1
inula-helenium-inula-racemosa,Inula helenium + Inula racemosa,10,"","",1
iteomyia-capreae,Iteomyia capreae,Insecta,Cecidomyiidae,Iteomyia,1
jacobaea-vulgaris-subsp-vulgaris,Jacobaea vulgaris subsp. vulgaris,10,Asteraceae,Jacobaea,1
leiobunum-spec-a,Leiobunum spec. A,13,Sclerosomatidae,Leiobunum,1
limnephilus-flavicornis,Limnephilus flavicornis,6,Limnephilidae,Limnephilus,1
limnephilus-spec,Limnephilus spec.,6,Limnephilidae,Limnephilus,1
lindenius-albilabris,Lindenius albilabris,17,Crabronidae,Lindenius,1
liriomyza-strigata,Liriomyza strigata,18,Agromyzidae,Liriomyza,1
lysimachia-verticillaris,Lysimachia verticillaris,Plantae,Primulaceae,Lysimachia,1
macaroeris,Macaroeris,Arachnida,Salticidae,Macaroeris,1
macropsis-spec,Macropsis spec.,15,"","",1
macrosteles-cristatus,Macrosteles cristatus,15,Cicadellidae,Macrosteles,1
melanomya,Melanomya,Insecta,Calliphoridae,Melanomya,1
melica-transsilvanica,Melica transsilvanica,10,Poaceae,Melica,1
melieria,Melieria,Insecta,Ulidiidae,Melieria,1
mentha-x-rotundifolia-m-longifolia-x-m-suaveolens,Mentha x rotundifolia (M. longifolia x M. suaveolens),10,Lamiaceae,Mentha,1
meromyza-spec,Meromyza spec.,18,Chloropidae,Meromyza,1
microgastrinae-indet,Microgastrinae indet.,17,"","",1
micropeza-corrigiolata,Micropeza corrigiolata,18,Micropezidae,Micropeza,1
mintho-rufiventris,Mintho rufiventris,18,Tachinidae,Mintho,1
mordellistena-spec,Mordellistena spec.,16,Mordellidae,Mordellistena,1
nabis-spec,Nabis spec.,15,Nabidae,Nabis,1
nemapogon-spec,Nemapogon spec.,8,Tineidae,Nemapogon,1
nemesia-melissifolia,Nemesia melissifolia,10,Scrophulariaceae,Nemesia,1
neocrepidodera-spec,Neocrepidodera spec.,16,Chrysomelidae,Neocrepidodera,1
neomochtherus-geniculatus,Neomochtherus geniculatus,18,Asilidae,Paritamus,1
nepeta-x-faassenii-n-nepetella-x-n-racemosa,Nepeta x faassenii (N. nepetella x N. racemosa),10,Lamiaceae,Nepeta,1
nephrotoma-flavescens,Nephrotoma flavescens,Insecta,Tipulidae,Nephrotoma,1
nephrotoma-flavipalpis,Nephrotoma flavipalpis,18,Tipulidae,Nephrotoma,1
nephrotoma-guestfalica,Nephrotoma guestfalica,18,Tipulidae,Nephrotoma,1
notiphila-spec,Notiphila spec.,18,Ephydridae,Notiphila,1
notostira,Notostira,Insecta,Miridae,Notostira,1
odiellus-spinosus,Odiellus spinosus,13,Phalangiidae,Odiellus,1
oedemera,Oedemera,Insecta,Oedemeridae,Oedemera,1
oncopsis-spec,Oncopsis spec.,15,Cicadellidae,Oncopsis,1
onopordum-x-beckianum-o-acanthium-x-o-illyricum,Onopordum x beckianum (O. acanthium x O. illyricum),10,Asteraceae,Onopordum,1
ophonus-rufibarbis,Ophonus rufibarbis,16,Carabidae,Ophonus,1
opomyza-germinationis-petrei,Opomyza germinationis/petrei,18,Opomyzidae,Opomyza,1
orchestes-rusci,Orchestes rusci,16,Curculionidae,Orchestes,1
orthonotus-rufifrons,Orthonotus rufifrons,15,Miridae,Orthonotus,1
orthops-basalis,Orthops basalis,15,Miridae,Orthops,1
orthotylus-marginalis,Orthotylus marginalis,15,Miridae,Orthotylus,1
otiorhynchus-aurifer,Otiorhynchus aurifer,16,Curculionidae,Otiorhynchus,1
otiorhynchus-pseudonothus,Otiorhynchus pseudonothus,Insecta,Curculionidae,Otiorhynchus,1
otiorhynchus-spec,Otiorhynchus spec.,16,Curculionidae,Otiorhynchus,1
oxybelus-uniglumis,Oxybelus uniglumis,17,Crabronidae,Oxybelus,1
panimerus-spec,Panimerus spec.,18,Psychodidae,Panimerus,1
papaver-rhoeas-cultivar,Papaver rhoeas (cultivar),10,Papaveraceae,Papaver,1
parachronistis-albiceps,Parachronistis albiceps,8,Gelechiidae,Parachronistis,1
passaloecus-corniger,Passaloecus corniger,17,Crabronidae,Passaloecus,1
periclista-spec,Periclista spec.,17,Tenthredinidae,Periclista,1
peripsychoda-auriculata,Peripsychoda auriculata,18,Psychodidae,Peripsychoda,1
peripsychoda-spec,Peripsychoda spec.,18,Psychodidae,Peripsychoda,1
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,10,Lamiaceae,Salvia,1
phania-funesta,Phania funesta,18,Tachinidae,Phania,1
pherbellia-cinerella,Pherbellia cinerella,Insecta,Sciomyzidae,Pherbellia,1
philodromus-albidus,Philodromus albidus,Arachnida,Philodromidae,Philodromus,1
phyllocoptes-eupadi,Phyllocoptes eupadi,13,Eriophyidae,Phyllocoptes,1
phyllosticta-cruenta,Phyllosticta cruenta,11,"","",1
phytomyza,Phytomyza,Insecta,Agromyzidae,Phytomyza,1
phytomyza-aquilegiae,Phytomyza aquilegiae,18,Agromyzidae,Phytomyza,1
phytomyza-lappae,Phytomyza lappae,18,Agromyzidae,Phytomyza,1
phytomyza-spondylii-pastinacae,Phytomyza spondylii + pastinacae,18,"","",1
phytoptus-abnormis,Phytoptus abnormis,13,Phytoptidae,Phytoptus,1
piratula-latitans,Piratula latitans,13,Lycosidae,Piratula,1
pithanus-maerkelii,Pithanus maerkelii,15,Miridae,Pithanus,1
plagiosterna-aenea,Plagiosterna aenea,16,Chrysomelidae,Plagiosterna,1
planariidae,Planariidae,Animalia,Planariidae,"",1
plateumaris-bracata,Plateumaris bracata,Insecta,Chrysomelidae,Plateumaris,1
plectosphaerella-alismatis,Plectosphaerella alismatis,11,Plectosphaerellaceae,Plectosphaerella,1
pneumia-nubila-trivialis,Pneumia nubila/trivialis,18,Psychodidae,Pneumia,1
pompilus-cinereus,Pompilus cinereus,17,Pompilidae,Pompilus,1
procambarus,Procambarus,Animalia,Cambaridae,Procambarus,1
protomyces-macrosporus,Protomyces macrosporus,11,Taphrinaceae,Protomyces,1
psyllopsis-spec,Psyllopsis spec.,15,Liviidae,Psyllopsis,1
puccinia-aegopodii,Puccinia aegopodii,11,Pucciniaceae,Puccinia,1
puccinia-allii,Puccinia allii,11,Pucciniaceae,Puccinia,1
rhaphium-spec,Rhaphium spec.,18,"","",1
rhembobius-perscrutator,Rhembobius perscrutator,17,Ichneumonidae,Rhembobius,1
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,17,Tenthredinidae,Rhogogaster,1
sawadaea-bicornis,Sawadaea bicornis,11,Erysiphaceae,Sawadaea,1
sciapus-platypterus,Sciapus platypterus,18,Dolichopodidae,Sciapus,1
sciota-rhenella,Sciota rhenella,8,Pyralidae,Sciota,1
scymnus-schmidti-gr,Scymnus schmidti-gr,16,"","",1
sepsis-spec,Sepsis spec.,18,Sepsidae,Sepsis,1
sphaeroderma-spec,Sphaeroderma spec.,16,"","",1
sphaeromias-spec,Sphaeromias spec.,18,Ceratopogonidae,Sphaeromias,1
spintherophyta,Spintherophyta,Insecta,Chrysomelidae,Spintherophyta,1
stemonitis-axifera,Stemonitis axifera,Protozoa,Stemonitidaceae,Stemonitis,1
stenolophus-mixtus,Stenolophus mixtus,16,Carabidae,Stenolophus,1
suillia-spec,Suillia spec.,18,Heleomyzidae,Suillia,1
symmorphus-crassicornis,Symmorphus crassicornis,17,Eumenidae,Symmorphus,1
symplecta-stictica,Symplecta stictica,18,Limoniidae,Symplecta,1
tachydromia,Tachydromia,Insecta,Hybotidae,Tachydromia,1
tachysphex-pompiliformis,Tachysphex pompiliformis,17,Crabronidae,Tachysphex,1
tasgius,Tasgius,Insecta,Staphylinidae,Tasgius,1
tenthredo-spec,Tenthredo spec.,17,Tenthredinidae,Tenthredo,1
tephritis,Tephritis,Insecta,"","",1
tetrix-spec,Tetrix spec.,14,Tetrigidae,Tetrix,1
thaumatomyia-spec,Thaumatomyia spec.,18,Chloropidae,Thaumatomyia,1
thelaira-nigripes,Thelaira nigripes,18,Tachinidae,Thelaira,1
thereva-cinifera,Thereva cinifera,18,Therevidae,Thereva,1
tinocallis,Tinocallis,Insecta,Aphididae,Tinocallis,1
tiphia-minuta,Tiphia minuta,17,Tiphiidae,Tiphia,1
tremulicerus-tremulae,Tremulicerus tremulae,15,Cicadellidae,Tremulicerus,1
tremulicerus-vitreus,Tremulicerus vitreus,15,Cicadellidae,Tremulicerus,1
trifolieae,Trifolieae,Plantae,"","",1
turritella-socordia,Turritella socordia,7,Turritellidae,Turritella,1
xantholinus,Xantholinus,Insecta,Staphylinidae,Xantholinus,1
xanthoria-calcicola,Xanthoria calcicola,12,Teloschistaceae,Xanthoria,1
xanthostigma-xanthostigma,Xanthostigma xanthostigma,6,Raphidiidae,Xanthostigma,1
