slug,latin_name,taxon_group
cryptodiaporthe-populea,Cryptodiaporthe populea,11
cryptosphaeria-eunomia,Cryptosphaeria eunomia,11
cybister-lateralimarginalis,Cybister lateralimarginalis,16
cylindroiulus-caeruleocinctus,Cylindroiulus caeruleocinctus,13
dacrymyces-stillatus,Dacrymyces stillatus,11
dalopius-marginatus,Dalopius marginatus,16
dasineura-acrophila,Dasineura acrophila,18
dasineura-aparines,Dasineura aparines,18
dasineura-plicatrix,Dasineura plicatrix,18
dasineura-sisymbrii,Dasineura sisymbrii,Insecta
dasytes-spec,Dasytes spec.,16
datura-stramonium-var-tatula,Datura stramonium var. tatula,10
depressaria,Depressaria,Insecta
depressaria-radiella,Depressaria radiella,8
deraeocoris-trifasciatus,Deraeocoris trifasciatus,15
dexiosoma-caninum,Dexiosoma caninum,18
dichetophora-obliterata,Dichetophora obliterata,18
dichrooscytus-intermedius,Dichrooscytus intermedius,15
dichrooscytus-rufipennis,Dichrooscytus rufipennis,15
dicyphus-globulifer,Dicyphus globulifer,15
dilophus-febrilis,Dilophus febrilis,18
dioctria-linearis,Dioctria linearis,18
diplazontinae-indet,Diplazontinae indet.,17
dolichopus,Dolichopus,Insecta
dolichopus-lepidus,Dolichopus lepidus,18
dolichopus-plumipes,Dolichopus plumipes,18
donacia-clavipes,Donacia clavipes,16
donacia-semicuprea,Donacia semicuprea,16
dysmachus-trigonus,Dysmachus trigonus,18
eccopisa-effractella,Eccopisa effractella,8
ectemnius-sexcinctus,Ectemnius sexcinctus,17
ectobius-vittiventris,Ectobius vittiventris,6
ectopsocus,Ectopsocus,Insecta
ectopsocus-briggsi,Ectopsocus briggsi,6
encyrtidae-indet,Encyrtidae indet.,17
enicospilus-spec,Enicospilus spec.,17
enolmis-acanthella,Enolmis acanthella,8
enoplognatha,Enoplognatha,Arachnida
entomophthora-muscae,Entomophthora muscae,Fungi
epinotia-demarniana,Epinotia demarniana,8
epinotia-immundana,Epinotia immundana,8
epinotia-nisella,Epinotia nisella,8
epinotia-tenerana,Epinotia tenerana,8
erigone,Erigone,Arachnida
erigone-dentipalpis,Erigone dentipalpis,13
eriocampa-ovata,Eriocampa ovata,17
eristalis-arbustorum-abusiva,Eristalis arbustorum/abusiva,18
eristalis-spec,Eristalis spec.,18
erodium-trifolium,Erodium trifolium,10
erysimum-bicolor,Erysimum bicolor,10
erysiphe-sensu-lato,Erysiphe sensu lato,11
ethmia-bipunctella,Ethmia bipunctella,8
ethmia-terminella,Ethmia terminella,8
eudemis-porphyrana,Eudemis porphyrana,8
eudemis-profundana,Eudemis profundana,8
eumerus-spec,Eumerus spec.,18
euphorbia-amygdaloides-subsp-robbiae,Euphorbia amygdaloides subsp. robbiae,10
eupithecia-pulchellata-linariata,Eupithecia pulchellata / linariata,8
eupterycyba-jucunda,Eupterycyba jucunda,15
eupteryx-florida,Eupteryx florida,15
eurygaster-testudinaria,Eurygaster testudinaria,15
eurylabus-spec,Eurylabus spec.,17
eustalomyia-hilaris,Eustalomyia hilaris,18
eutomostethus-ephippium,Eutomostethus ephippium,17
evergestis-pallidata,Evergestis pallidata,8
exephanes-ischioxanthus,Exephanes ischioxanthus,17
exetastes-adpressorius,Exetastes adpressorius,17
fallopia-japonica-fallopia-sachalinensis-fallopia-x-bohemica,Fallopia japonica + Fallopia sachalinensis + Fallopia x bohemica,10
fatsia,Fatsia,Plantae
forcipomyia-paludis,Forcipomyia paludis,18
gambrus-carnifex,Gambrus carnifex,17
ganoderma-resinaceum,Ganoderma resinaceum,11
gelis-spec,Gelis spec.,17
geranium-palustre,Geranium palustre,10
gillmeria-ochrodactyla,Gillmeria ochrodactyla,8
gilpinia,Gilpinia,Insecta
gnophomyia,Gnophomyia,Insecta
gnophomyia-tristissima,Gnophomyia tristissima,Insecta
gonioctena-viminalis,Gonioctena viminalis,16
gorytes-laticinctus,Gorytes laticinctus,17
grapholita-lobarzewskii,Grapholita lobarzewskii,8
gymnosporangium-clavariiforme,Gymnosporangium clavariiforme,11
gypsonoma-sociana,Gypsonoma sociana,8
gyrinus,Gyrinus,Insecta
harpalinae,Harpalinae,Insecta
harpalus-rubripes,Harpalus rubripes,16
hebecnema-spec,Hebecnema spec.,18
hedobia-imperialis,Hedobia imperialis,16
hedychrum-gerstaeckeri,Hedychrum gerstaeckeri,17
heleomyzidae-indet,Heleomyzidae indet.,18
helina-evecta,Helina evecta,Insecta
helina-spec,Helina spec.,18
heptatoma-pellucens,Heptatoma pellucens,18
hercostomus-rusticus,Hercostomus rusticus,18
hericium-cirrhatum,Hericium cirrhatum,11
hesperis,Hesperis,Plantae
homoeosoma-sinuella,Homoeosoma sinuella,8
hybomitra-solstitialis,Hybomitra solstitialis,18
hybos-femoratus,Hybos femoratus,18
hydrobius-fuscipes,Hydrobius fuscipes,16
hydropsyche-spec,Hydropsyche spec.,6
hylaeus-nigritus,Hylaeus nigritus,17
ichneumon,Ichneumon,Insecta
ichneumoninae-indet,Ichneumoninae indet.,17
idiocerini,Idiocerini,Insecta
ilisia-maculata,Ilisia maculata,18
inula-helenium-inula-racemosa,Inula helenium + Inula racemosa,10
iteomyia-capreae,Iteomyia capreae,Insecta
jacobaea-spec,Jacobaea spec.,10
jacobaea-vulgaris-subsp-vulgaris,Jacobaea vulgaris subsp. vulgaris,10
knautia-macedonica,Knautia macedonica,10
lactuca-serriola-f-serriola,Lactuca serriola f. serriola,10
lauritrioza-alacris,Lauritrioza alacris,15
leccinum-duriusculum,Leccinum duriusculum,11
leiobunum-rotundum,Leiobunum rotundum,13
leiobunum-spec-a,Leiobunum spec. A,13
lentinus-tigrinus,Lentinus tigrinus,11
lepthyphantes-minutus,Lepthyphantes minutus,13
leucoagaricus-leucothites,Leucoagaricus leucothites,11
limnaecia-phragmitella,Limnaecia phragmitella,8
limnephilus-flavicornis,Limnephilus flavicornis,6
limnephilus-lunatus,Limnephilus lunatus,6
limnephilus-spec,Limnephilus spec.,6
lindenius-albilabris,Lindenius albilabris,17
linyphia-hortensis,Linyphia hortensis,13
liposthenes-glechomae,Liposthenes glechomae,17
liriomyza-strigata,Liriomyza strigata,18
lygus-spec,Lygus spec.,15
lysimachia-verticillaris,Lysimachia verticillaris,Plantae
macaroeris,Macaroeris,Arachnida
macropsis-spec,Macropsis spec.,15
macrosteles-cristatus,Macrosteles cristatus,15
malachius-bipustulatus,Malachius bipustulatus,16
malvaceae-indet,Malvaceae indet.,10
medinilla,Medinilla,Plantae
melanoleuca-verrucipes,Melanoleuca verrucipes,11
melanomya,Melanomya,Insecta
melanotus-spec,Melanotus spec.,16
melica-transsilvanica,Melica transsilvanica,10
melieria,Melieria,Insecta
mentha-x-rotundifolia-m-longifolia-x-m-suaveolens,Mentha x rotundifolia (M. longifolia x M. suaveolens),10
meromyza-spec,Meromyza spec.,18
microgastrinae-indet,Microgastrinae indet.,17
micropeza-corrigiolata,Micropeza corrigiolata,18
mikiola-fagi,Mikiola fagi,18
mintho-rufiventris,Mintho rufiventris,18
mordellistena-spec,Mordellistena spec.,16
nabis-spec,Nabis spec.,15
nemapogon-spec,Nemapogon spec.,8
nemesia-melissifolia,Nemesia melissifolia,10
neocrepidodera-spec,Neocrepidodera spec.,16
neomochtherus-geniculatus,Neomochtherus geniculatus,18
nepeta-x-faassenii-n-nepetella-x-n-racemosa,Nepeta x faassenii (N. nepetella x N. racemosa),10
nephrotoma-flavescens,Nephrotoma flavescens,Insecta
nephrotoma-flavipalpis,Nephrotoma flavipalpis,18
nephrotoma-guestfalica,Nephrotoma guestfalica,18
norellisoma-spinimanum,Norellisoma spinimanum,18
notiphila-spec,Notiphila spec.,18
notostira,Notostira,Insecta
notostira-elongata,Notostira elongata,15
obrium-cantharinum,Obrium cantharinum,16
odiellus-spinosus,Odiellus spinosus,13
odontomyia-tigrina,Odontomyia tigrina,18
oedemera,Oedemera,Insecta
oedemeridae-indet,Oedemeridae indet.,16
oenothera-deflexa,Oenothera deflexa,10
oncopsis-spec,Oncopsis spec.,15
onopordum-x-beckianum-o-acanthium-x-o-illyricum,Onopordum x beckianum (O. acanthium x O. illyricum),10
ophonus-rufibarbis,Ophonus rufibarbis,16
opomyza-germinationis-petrei,Opomyza germinationis/petrei,18
orchesella-villosa,Orchesella villosa,13
orchestes-rusci,Orchestes rusci,16
orientus-ishidae,Orientus ishidae,15
orthonotus-rufifrons,Orthonotus rufifrons,15
orthops-basalis,Orthops basalis,15
orthotylus-marginalis,Orthotylus marginalis,15
otiorhynchus-aurifer,Otiorhynchus aurifer,16
otiorhynchus-pseudonothus,Otiorhynchus pseudonothus,Insecta
otiorhynchus-rugosostriatus,Otiorhynchus rugosostriatus,16
otiorhynchus-spec,Otiorhynchus spec.,16
oxybelus-uniglumis,Oxybelus uniglumis,17
pachygaster-leachii,Pachygaster leachii,18
