slug,latin_name,taxon_group,common_name,observations_count
leucoagaricus-leucothites,Leucoagaricus leucothites,11,"",1
leucospilapteryx-omissella,Leucospilapteryx omissella,8,Mugwort slender,1
leycesteria-formosa,Leycesteria formosa,10,Himalayan Honeysuckle,1
libellula-depressa,Libellula depressa,5,Broad-bodied Chaser,1
limnaecia-phragmitella,Limnaecia phragmitella,8,"",1
limnephilus-flavicornis,Limnephilus flavicornis,6,"",1
limnephilus-lunatus,Limnephilus lunatus,6,"",1
limnephilus-spec,Limnephilus spec.,6,"",1
limosa-limosa,Limosa limosa,1,Black-tailed Godwit,1
linaria,Linaria,Plantae,Toadflaxes,1
lindenius-albilabris,Lindenius albilabris,17,"",1
linum-catharticum,Linum catharticum,10,Fairy Flax,1
linum-usitatissimum,Linum usitatissimum,10,Common Flax,1
linyphia-hortensis,Linyphia hortensis,13,"",1
linyphiidae,Linyphiidae,Arachnida,Sheetweb and Dwarf Weavers,1
lipandra-polysperma,Lipandra polysperma,10,Many-seeded Goosefoot,1
liposthenes-glechomae,Liposthenes glechomae,17,"",1
liriomyza-strigata,Liriomyza strigata,18,"",1
locustella-luscinioides,Locustella luscinioides,1,Savi's Warbler,1
lonicera-ligustrina,Lonicera ligustrina,Plantae,Boxleaf Honeysuckle,1
lonicera-periclymenum,Lonicera periclymenum,10,European honeysuckle,1
lotus-spec,Lotus spec.,10,Bird's-foot-trefoil unknown,1
lucilia,Lucilia,Insecta,Greenbottle Flies,1
lumbricidae-indet,Lumbricidae indet.,20,Earthworm unidentified,1
lunularia-cruciata,Lunularia cruciata,12,Crescent-cup Liverwort,1
luscinia-svecica,Luscinia svecica,1,Bluethroat,1
lycaena-phlaeas,Lycaena phlaeas,4,Small Copper,1
lycogala,Lycogala,Protozoa,Wolfs Milk,1
lycosidae,Lycosidae,Arachnida,Wolf Spiders,1
lygus-spec,Lygus spec.,15,"",1
lymnaea-stagnalis,Lymnaea stagnalis,7,Great Pond Snail,1
lysimachia,Lysimachia,Plantae,Loosestrifes,1
lysimachia-verticillaris,Lysimachia verticillaris,Plantae,"",1
macaroeris,Macaroeris,Arachnida,"",1
macrochilo-cribrumalis,Macrochilo cribrumalis,8,Dotted Fan-foot,1
macropis-europaea,Macropis europaea,17,Yellow-Loosestrife Bee,1
macropsis-spec,Macropsis spec.,15,"",1
macrosiphum-euphorbiae,Macrosiphum euphorbiae,Insecta,Potato Aphid,1
macrosteles-cristatus,Macrosteles cristatus,15,"",1
malachiinae-indet,Malachiinae indet.,16,Malachite Beetle unknown,1
malachius-bipustulatus,Malachius bipustulatus,16,"",1
malus-domestica,Malus domestica,Plantae,apple,1
malus-hupehensis,Malus hupehensis,Plantae,Hupeh Crabapple,1
malva,Malva,Plantae,Mallows,1
malvaceae-indet,Malvaceae indet.,10,"",1
marchantia-polymorpha,Marchantia polymorpha,12,Common Liverwort,1
martagon,Martagon,Plantae,Lilium sect. Martagon,1
matricaria-chamomilla,Matricaria chamomilla,Plantae,German Chamomile,1
meconema-meridionale,Meconema meridionale,Insecta,Southern Oak Bush-cricket,1
medicago-arabica,Medicago arabica,Plantae,Spotted medick,1
medicago-x-varia-m-falcata-x-m-sativa,Medicago x varia (M. falcata x M. sativa),10,Sand Lucerne,1
medinilla,Medinilla,Plantae,"",1
megachile-versicolor,Megachile versicolor,17,Brown-footed Leafcutter Bee,1
melanoleuca-verrucipes,Melanoleuca verrucipes,11,"",1
melanomya,Melanomya,Insecta,"",1
melanotus-spec,Melanotus spec.,16,"",1
melica-transsilvanica,Melica transsilvanica,10,"",1
melieria,Melieria,Insecta,"",1
meligramma-triangulifera,Meligramma triangulifera,18,Triangle-spotted Roundtail,1
melilotus-officinalis,Melilotus officinalis,10,Ribbed Melilot,1
melissa-officinalis,Melissa officinalis,10,Balm,1
melolontha-melolontha,Melolontha melolontha,16,Cockchafer,1
mentha-x-rotundifolia-m-longifolia-x-m-suaveolens,Mentha x rotundifolia (M. longifolia x M. suaveolens),10,"",1
meromyza-spec,Meromyza spec.,18,"",1
mespilus-germanica,Mespilus germanica,10,Medlar,1
metalampra-italica,Metalampra italica,8,Italian Bark Moth,1
metasequoia-glyptostroboides,Metasequoia glyptostroboides,10,Dawn redwood,1
micacei,Micacei,Fungi,Coprinellus sect. Micacei,1
microchrysa-polita,Microchrysa polita,18,Black-horned Gem,1
microgastrinae-indet,Microgastrinae indet.,17,"",1
micropeza-corrigiolata,Micropeza corrigiolata,18,"",1
mikiola-fagi,Mikiola fagi,18,"",1
mintho-rufiventris,Mintho rufiventris,18,"",1
miscanthus-spec,Miscanthus spec.,10,Silvergrass unknown,1
misopates-orontium,Misopates orontium,10,Lesser Snapdragon,1
mnemiopsis-leidyi,Mnemiopsis leidyi,20,Warty comb jelly,1
mordellistena-spec,Mordellistena spec.,16,"",1
morus-alba,Morus alba,10,White Mulberry,1
murinae,Murinae,Mammalia,Murines,1
mus,Mus,Mammalia,Typical Old World Mice,1
musca-autumnalis,Musca autumnalis,18,Face Fly,1
muscicapa-striata,Muscicapa striata,1,Spotted Flycatcher,1
muscina-stabulans,Muscina stabulans,Insecta,False Stable Fly,1
muscoidea,Muscoidea,Insecta,Muscoid Flies,1
mustelidae-indet,Mustelidae indet.,2,Mustelid unknown,1
myiopsitta-monachus,Myiopsitta monachus,1,Monk Parakeet,1
myocastor-coypus,Myocastor coypus,2,Coypu,1
myosotis-scorpioides,Myosotis scorpioides,Plantae,water forget-me-not,1
myosotis-sylvatica,Myosotis sylvatica,10,Wood Forget-me-not,1
myrtales,Myrtales,Plantae,"myrtles, evening primroses, and allies",1
mythimna-pallens,Mythimna pallens,8,Common Wainscot,1
nabis-spec,Nabis spec.,15,"",1
nemapogon-spec,Nemapogon spec.,8,"",1
nemesia-melissifolia,Nemesia melissifolia,10,"",1
neoascia,Neoascia,Insecta,Fen Flies,1
neocrepidodera-spec,Neocrepidodera spec.,16,"",1
neomochtherus-geniculatus,Neomochtherus geniculatus,18,"",1
nepeta-x-faassenii-n-nepetella-x-n-racemosa,Nepeta x faassenii (N. nepetella x N. racemosa),10,"",1
nephrotoma,Nephrotoma,Insecta,Tiger Crane Flies,1
nephrotoma-flavescens,Nephrotoma flavescens,Insecta,"",1
nephrotoma-flavipalpis,Nephrotoma flavipalpis,18,"",1
nephrotoma-guestfalica,Nephrotoma guestfalica,18,"",1
nerium-oleander,Nerium oleander,10,Rose bay,1
nicandra-physalodes,Nicandra physalodes,10,Apple of Peru,1
nicotiana-alata,Nicotiana alata,10,Sweet Tobacco,1
nicotiana-sylvestris,Nicotiana sylvestris,10,South American tobacco,1
nomada-flava,Nomada flava,17,Flavous Nomad Bee,1
nomada-fucata,Nomada fucata,17,Painted Nomad Bee,1
norellisoma-spinimanum,Norellisoma spinimanum,18,"",1
notiphila-spec,Notiphila spec.,18,"",1
notonecta-spec,Notonecta spec.,15,Unidentified Backswimmer,1
notostira,Notostira,Insecta,"",1
notostira-elongata,Notostira elongata,15,"",1
nymphaea,Nymphaea,Plantae,Waterlilies,1
obrium-cantharinum,Obrium cantharinum,16,"",1
ochropleura-plecta,Ochropleura plecta,8,Flame Shoulder,1
ocimum-basilicum,Ocimum basilicum,Plantae,Sweet basil,1
odiellus-spinosus,Odiellus spinosus,13,"",1
odontomyia-tigrina,Odontomyia tigrina,18,"",1
oedemera,Oedemera,Insecta,"",1
oedemera-lurida,Oedemera lurida,Insecta,Greenish Oedemera,1
oedemeridae-indet,Oedemeridae indet.,16,"",1
oenothera-deflexa,Oenothera deflexa,10,"",1
oenothera-parviflora,Oenothera parviflora,Plantae,northern evening-primrose,1
olea-europaea,Olea europaea,Plantae,Olive,1
oligia-latruncula,Oligia latruncula,8,Tawny Marbled Minor,1
oncopsis-spec,Oncopsis spec.,15,"",1
oncorhynchus-mykiss,Oncorhynchus mykiss,9,Rainbow Trout,1
onopordum-acanthium-agg,Onopordum acanthium agg.,10,Scotch Thistle,1
onopordum-x-beckianum-o-acanthium-x-o-illyricum,Onopordum x beckianum (O. acanthium x O. illyricum),10,"",1
ophonus-rufibarbis,Ophonus rufibarbis,16,"",1
opiliones-indet,Opiliones indet.,13,Unidentified Harvestman,1
opomyza-germinationis-petrei,Opomyza germinationis/petrei,18,"",1
orchesella-villosa,Orchesella villosa,13,"",1
orchestes-rusci,Orchestes rusci,16,"",1
orchidaceae,Orchidaceae,Plantae,Orchids,1
orientus-ishidae,Orientus ishidae,15,"",1
ornithogalum-umbellatum,Ornithogalum umbellatum,10,Garden Star-of-Bethlehem,1
orobanche-purpurea,Orobanche purpurea,10,Yarrow Broomrape,1
orthonotus-rufifrons,Orthonotus rufifrons,15,"",1
orthops-basalis,Orthops basalis,15,"",1
orthosia-cerasi,Orthosia cerasi,Insecta,Common Quaker,1
orthotylus-marginalis,Orthotylus marginalis,15,"",1
ostrya-carpinifolia,Ostrya carpinifolia,10,Hop hornbeam,1
otiorhynchus-aurifer,Otiorhynchus aurifer,16,"",1
otiorhynchus-pseudonothus,Otiorhynchus pseudonothus,Insecta,"",1
otiorhynchus-rugosostriatus,Otiorhynchus rugosostriatus,16,"",1
otiorhynchus-spec,Otiorhynchus spec.,16,"",1
ourapteryx-sambucaria,Ourapteryx sambucaria,8,Swallow-tailed Moth,1
oxalis-debilis,Oxalis debilis,10,Large-flowered Pink-sorrel,1
oxalis-stricta,Oxalis stricta,10,Upright Yellow-sorrel,1
oxalis-tetraphylla,Oxalis tetraphylla,10,Iron Cross,1
oxybasis-glauca,Oxybasis glauca,10,Oak-leaved Goosefoot,1
oxybasis-rubra,Oxybasis rubra,10,Red Goosefoot,1
oxybelus-uniglumis,Oxybelus uniglumis,17,"",1
oxycera-leonina,Oxycera leonina,Insecta,Twin-spotted Major,1
oxychilus-draparnaudi,Oxychilus draparnaudi,7,Draparnaud's Glass Snail,1
oxythyrea-funesta,Oxythyrea funesta,16,White Spotted Rose Chafer beetle,1
pachygaster-leachii,Pachygaster leachii,18,"",1
pacifastacus-leniusculus,Pacifastacus leniusculus,13,Signal crayfish,1
paederus,Paederus,Insecta,Whiplash Beetles,1
pammene-fasciana,Pammene fasciana,8,"",1
pammene-regiana,Pammene regiana,8,"",1
pamphilius-inanitus,Pamphilius inanitus,17,"",1
pandemis-cerasana,Pandemis cerasana,8,Barred Fruit-tree Tortrix,1
panicum-miliaceum,Panicum miliaceum,10,Common Millet,1
panimerus-spec,Panimerus spec.,18,"",1
papaver-cambricum,Papaver cambricum,Plantae,Welsh Poppy,1
papaver-rhoeas-cultivar,Papaver rhoeas (cultivar),10,"",1
papaver-setiferum,Papaver setiferum,10,Oriental Poppy,1
parachronistis-albiceps,Parachronistis albiceps,8,"",1
paracorymbia-fulva,Paracorymbia fulva,16,"",1
paralaoma-servilis,Paralaoma servilis,7,Pinhead spot,1
parentucellia-viscosa,Parentucellia viscosa,10,Yellow Bartsia,1
parhelophilus-spec,Parhelophilus spec.,18,"",1
pasiphila-debiliata,Pasiphila debiliata,8,Bilberry Pug,1
passaloecus-corniger,Passaloecus corniger,17,"",1
passaloecus-spec,Passaloecus spec.,17,"",1
pechipogo-plumigeralis,Pechipogo plumigeralis,8,Plumed Fan-foot,1
pediasia-contaminella,Pediasia contaminella,8,"",1
pediopsis-tiliae,Pediopsis tiliae,15,"",1
pelophylax,Pelophylax,Amphibia,Water Frogs,1
pelophylax-esculentus,Pelophylax esculentus,Amphibia,Edible Frog,1
pelophylax-kl-esculentus,Pelophylax kl. esculentus,3,Edible Frog,1
pelosia-obtusa,Pelosia obtusa,8,Small Dotted Footman,1
pentatomidae,Pentatomidae,Insecta,Stink Bugs,1
peribalus-strictus,Peribalus strictus,15,Vernal Shieldbug,1
peribatodes-secundaria,Peribatodes secundaria,8,Feathered Beauty,1
periclista-spec,Periclista spec.,17,"",1
peripsychoda-auriculata,Peripsychoda auriculata,18,"",1
peripsychoda-spec,Peripsychoda spec.,18,"",1
perizoma-alchemillata,Perizoma alchemillata,8,Small Rivulet,1
perizoma-flavofasciata,Perizoma flavofasciata,8,Sandy Carpet,1
perovskia-abrotanoides,Perovskia abrotanoides,10,"",1
perovskia-abrotanoides-x-perovskia-atriplicifolia,Perovskia abrotanoides x Perovskia atriplicifolia,10,"",1
perovskia-spec,Perovskia spec.,10,Perovskia unknown,1
persicaria-amphibia,Persicaria amphibia,10,Amphibious Bistort,1
persicaria-lapathifolia,Persicaria lapathifolia,10,Pale Persicaria,1
petrorhagia-saxifraga,Petrorhagia saxifraga,10,Tunicflower,1
petunia-x-punctata-p-axillaris-x-p-integrifolia,Petunia x punctata (P. axillaris x P. integrifolia),10,Petunia,1
phacelia,Phacelia,Plantae,Scorpionweeds,1
phania-funesta,Phania funesta,18,"",1
pherbellia-cinerella,Pherbellia cinerella,Insecta,"",1
philereme-transversata,Philereme transversata,8,Dark Umber,1
philodromus,Philodromus,Arachnida,Running Crab Spiders,1
philodromus-albidus,Philodromus albidus,Arachnida,"",1
philonicus-albiceps,Philonicus albiceps,18,Dune robberfly,1
philopedon-plagiatum,Philopedon plagiatum,16,Marram Weevil,1
philophylla-caesio,Philophylla caesio,Insecta,Banded Nettle Fly,1
phlomis,Phlomis,Plantae,Lampwicks,1
phoridae-indet,Phoridae indet.,18,"",1
photedes-minima,Photedes minima,8,Small Dotted Buff,1
phragmataecia-castaneae,Phragmataecia castaneae,8,Reed Leopard,1
phycita-roborella,Phycita roborella,8,"",1
phyllocnistis-xenia,Phyllocnistis xenia,8,Kent bent-wing,1
phyllocoptes-eupadi,Phyllocoptes eupadi,13,"",1
phyllonorycter-comparella,Phyllonorycter comparella,8,Winter poplar midget,1
phyllonorycter-lautella,Phyllonorycter lautella,8,Fiery oak midget,1
phyllonorycter-muelleriella,Phyllonorycter muelleriella,8,"",1
phyllonorycter-platani,Phyllonorycter platani,8,London midget,1
phyllosticta-cruenta,Phyllosticta cruenta,11,"",1
phymatodes-testaceus,Phymatodes testaceus,Insecta,Tanbark Borer,1
physcia-caesia,Physcia caesia,12,Blue-gray rosette lichen,1
physella-acuta,Physella acuta,7,Acute Bladder Snail,1
phytocoris-varipes,Phytocoris varipes,15,"",1
phytomyza,Phytomyza,Insecta,"",1
phytomyza-aquilegiae,Phytomyza aquilegiae,18,"",1
phytomyza-lappae,Phytomyza lappae,18,"",1
phytomyza-spondylii-pastinacae,Phytomyza spondylii + pastinacae,18,"",1
phytoptus-abnormis,Phytoptus abnormis,13,"",1
pieris-rapae-napi,Pieris rapae/napi,4,"",1
pimpinella-major,Pimpinella major,10,Greater Burnet-saxifrage,1
pimpla-rufipes,Pimpla rufipes,17,"",1
piniphila-bifasciana,Piniphila bifasciana,8,"",1
pipunculidae-indet,Pipunculidae indet.,18,"",1
piratula-latitans,Piratula latitans,13,"",1
pithanus-maerkelii,Pithanus maerkelii,15,"",1
plagiosterna-aenea,Plagiosterna aenea,16,"",1
planariidae,Planariidae,Animalia,"",1
plantae,Plantae,Plantae,Plants,1
plantago-coronopus,Plantago coronopus,10,Buck's-horn Plantain,1
platanus-x-hispanica-p-occidentalis-x-p-orientalis,Platanus x hispanica (P. occidentalis x P. orientalis),10,London Plane,1
plateumaris-bracata,Plateumaris bracata,Insecta,"",1
platyptilia-gonodactyla,Platyptilia gonodactyla,8,"",1
plectosphaerella-alismatis,Plectosphaerella alismatis,11,"",1
pneumia-nubila-trivialis,Pneumia nubila/trivialis,18,"",1
poaceae-indet,Poaceae indet.,10,Grass family unknown,1
polyommatus-icarus,Polyommatus icarus,4,Common Blue,1
polypodium-interjectum-polypodium-vulgare,Polypodium interjectum + Polypodium vulgare,10,"",1
polypodium-spec,Polypodium spec.,10,Polypody unknown,1
polyxenus-lagurus,Polyxenus lagurus,13,Bristly Millipede,1
pompilus-cinereus,Pompilus cinereus,17,"",1
populus,Populus,Plantae,"poplars, cottonwoods, and aspens",1
populus-nigra-italica,Populus nigra 'Italica',10,"",1
populus-spec,Populus spec.,10,Cottonwood unknown,1
porcellio-spinicornis,Porcellio spinicornis,13,Painted woodlouse,1
potentilla-norvegica,Potentilla norvegica,10,Ternate leaved Cinquefoil,1
primula-bulleyana-bulleyana,Primula bulleyana bulleyana,Plantae,"",1
pristiphora-pallidiventris,Pristiphora pallidiventris,17,"",1
procambarus,Procambarus,Animalia,"",1
proteroiulus-fuscus,Proteroiulus fuscus,13,"",1
protomyces-macrosporus,Protomyces macrosporus,11,"",1
prunus,Prunus,Plantae,"plums, cherries, and allies",1
prunus-laurocerasus,Prunus laurocerasus,Plantae,Cherry laurel,1
prunus-lusitanica,Prunus lusitanica,Plantae,Portuguese laurel,1
prunus-spinosa,Prunus spinosa,10,Blackthorn,1
pseudemys-concinna,Pseudemys concinna,Reptilia,River Cooter,1
pseudofumaria-lutea,Pseudofumaria lutea,10,Yellow Corydalis,1
pseudoips-prasinana,Pseudoips prasinana,8,Green Silver-lines,1
psittacula,Psittacula,Aves,Old World Parakeets,1
psyllopsis-spec,Psyllopsis spec.,15,"",1
pterostichus,Pterostichus,Insecta,Blackclock Ground Beetles,1
pterostichus-niger,Pterostichus niger,16,"",1
pterostichus-spec,Pterostichus spec.,16,"",1
pterostoma-palpina,Pterostoma palpina,8,Pale Prominent,1
ptilodon-capucina,Ptilodon capucina,8,Coxcomb Prominent,1
puccinia-aegopodii,Puccinia aegopodii,11,"",1
puccinia-allii,Puccinia allii,11,"",1
pyrus-communis,Pyrus communis,10,Wild Pear,1
quercus-cerris,Quercus cerris,Plantae,Turkey Oak,1
quercus-ilex,Quercus ilex,10,Evergreen Oak,1
rabdophaga-rosaria,Rabdophaga rosaria,18,"",1
rallus-aquaticus,Rallus aquaticus,1,Water Rail,1
ramalina-farinacea,Ramalina farinacea,12,Dotted bush lichen,1
ranunculus-lanuginosus,Ranunculus lanuginosus,10,"",1
raphanus-spec,Raphanus spec.,10,Radish unknown,1
reseda-luteola,Reseda luteola,10,Weld,1
rhadinoceraea-micans,Rhadinoceraea micans,17,"",1
rhagoletis-alternata,Rhagoletis alternata,18,"",1
rhantus-suturalis,Rhantus suturalis,16,"",1
rhaphium-spec,Rhaphium spec.,18,"",1
rhembobius-perscrutator,Rhembobius perscrutator,17,"",1
rhododendron,Rhododendron,Plantae,rhododendrons and azaleas,1
rhododendron-ponticum,Rhododendron ponticum,Plantae,Pontic Rhododendron,1
rhogogaster-viridis-s-l,Rhogogaster viridis s.l.,17,"",1
rhopalosiphum-padi,Rhopalosiphum padi,Insecta,Bird Cherry-oat Aphid,1
rhopalus-subrufus,Rhopalus subrufus,15,"",1
ribes-sanguineum,Ribes sanguineum,Plantae,Red-flowering Currant,1
rissoa-membranacea,Rissoa membranacea,7,Larger Spire-shell,1
rodentia,Rodentia,Mammalia,Rodents,1
rosa-arvensis,Rosa arvensis,10,Field-rose,1
rosa-canina,Rosa canina,Plantae,Dog-rose,1
rosa-chinensis,Rosa chinensis,Plantae,China Rose,1
rosa-multiflora,Rosa multiflora,Plantae,multiflora rose,1
rosa-rubiginosa,Rosa rubiginosa,Plantae,Sweet-brier,1
rosa-rugosa,Rosa rugosa,10,Japanese Rose,1
rosa-spec,Rosa spec.,10,Rose sp. unknown,1
rosa-spinosissima,Rosa spinosissima,Plantae,Burnet Rose,1
rosmarinus-officinalis,Rosmarinus officinalis,10,Rosemary,1
rubus-armeniacus,Rubus armeniacus,Plantae,Armenian Blackberry,1
rubus-laciniatus,Rubus laciniatus,Plantae,Cutleaf Blackberry,1
rubus-odoratus,Rubus odoratus,10,Purple flowering Raspberry,1
rudbeckia-laciniata,Rudbeckia laciniata,Plantae,cutleaf coneflower,1
rumex,Rumex,Plantae,docks and sorrels,1
rumex-acetosa,Rumex acetosa,10,Common Sorrel,1
salix,Salix,Plantae,Willows,1
salix-cinerea,Salix cinerea,10,Grey Willow s.l.,1
salix-gmelinii,Salix gmelinii,Plantae,Gmelin's willow,1
salvia,Salvia,Plantae,Sages,1
salvia-argentea,Salvia argentea,10,Silver sage,1
salvia-guaranitica,Salvia guaranitica,Plantae,Anise-scented sage,1
salvia-viridis,Salvia viridis,10,Annual Clary,1
sambucus-nigra-laciniata,Sambucus nigra 'Laciniata',10,"",1
santolina-chamaecyparissus,Santolina chamaecyparissus,10,Lavender-cotton,1
sarcophagidae,Sarcophagidae,Insecta,Flesh Flies and Satellite Flies,1
sarcophagidae-indet,Sarcophagidae indet.,18,"",1
sawadaea-bicornis,Sawadaea bicornis,11,"",1
scabiosa-columbaria,Scabiosa columbaria,10,Small Scabious,1
scardinius-erythrophthalmus,Scardinius erythrophthalmus,Actinopterygii,Common Rudd,1
schizophora,Schizophora,Insecta,Schizophoran Flies,1
sciapus-platypterus,Sciapus platypterus,18,"",1
sciota-rhenella,Sciota rhenella,8,"",1
scoliopteryx-libatrix,Scoliopteryx libatrix,8,Herald,1
scolopostethus-decoratus,Scolopostethus decoratus,15,"",1
scoparia-basistrigalis-ambigualis,Scoparia basistrigalis/ambigualis,8,"",1
scraptiidae-indet,Scraptiidae indet.,16,"",1
scrophularia-auriculata,Scrophularia auriculata,10,Water Figwort,1
scrophularia-umbrosa,Scrophularia umbrosa,10,Green Figwort,1
scutellaria-columnae,Scutellaria columnae,10,Large Skullcap,1
scutigera-coleoptrata,Scutigera coleoptrata,13,House centipede,1
scymnus-schmidti-gr,Scymnus schmidti-gr,16,"",1
scythropia-crataegella,Scythropia crataegella,8,Hawthorn Moth,1
sedum,Sedum,Plantae,stonecrops,1
sedum-pallidum,Sedum pallidum,10,"",1
segestria-florentina,Segestria florentina,13,Green-fanged Tube Web Spider,1
seioptera-vibrans,Seioptera vibrans,18,"",1
sempervivum-tectorum,Sempervivum tectorum,10,House-leek,1
senecio-sarracenicus,Senecio sarracenicus,10,Broad leaved Ragwort,1
sepsis-spec,Sepsis spec.,18,"",1
silene,Silene,Plantae,Catchflies,1
siproeta-epaphus,Siproeta epaphus,4,Rusty-tipped Page,1
sisymbrium-orientale,Sisymbrium orientale,10,Eastern Rocket,1
skimmia-japonica,Skimmia japonica,Plantae,Japanese Skimmia,1
solanaceae,Solanaceae,Plantae,nightshade family,1
solanum,Solanum,Plantae,nightshades,1
solanum-lycopersicum,Solanum lycopersicum,Plantae,tomato,1
sorbaria-sorbifolia,Sorbaria sorbifolia,10,Sorbaria,1
sorbus-aria,Sorbus aria,10,Common Whitebeam,1
sorbus-intermedia,Sorbus intermedia,10,Swedish Whitebeam,1
spergularia-rubra,Spergularia rubra,10,Sand Spurrey,1
sphaeroderma-spec,Sphaeroderma spec.,16,"",1
sphaeromias-spec,Sphaeromias spec.,18,"",1
sphecodes-albilabris,Sphecodes albilabris,17,"",1
sphecodes-spec,Sphecodes spec.,17,"",1
spilosoma-lutea,Spilosoma lutea,8,Buff Ermine,1
spilosoma-urticae,Spilosoma urticae,8,Water Ermine,1
spintherophyta,Spintherophyta,Insecta,"",1
splanchnonema-platani,Splanchnonema platani,11,"",1
squalius-cephalus,Squalius cephalus,9,Chub,1
stagonomus-venustissimus,Stagonomus venustissimus,15,Woundwort Shieldbug,1
staphylea-pinnata,Staphylea pinnata,10,Bladder nut,1
stegania-trimaculata,Stegania trimaculata,8,Dorset Cream Wave,1
stelis-punctulatissima,Stelis punctulatissima,17,Banded Dark Bee,1
stemonitis-axifera,Stemonitis axifera,Protozoa,"",1
stenolophus-mixtus,Stenolophus mixtus,16,"",1
sterninae,Sterninae,Aves,True Terns,1
stevenia-deceptoria,Stevenia deceptoria,18,"",1
stratiomys-singularior,Stratiomys singularior,Insecta,Flecked General,1
stricticollis-tobias,Stricticollis tobias,16,"",1
stropharia-rugosoannulata,Stropharia rugosoannulata,11,"",1
subacronicta-megacephala,Subacronicta megacephala,8,Poplar Grey,1
succisa-pratensis,Succisa pratensis,10,Devil's-bit Scabious,1
suillia-spec,Suillia spec.,18,"",1
swammerdamia-pyrella,Swammerdamia pyrella,8,"",1
symmorphus-crassicornis,Symmorphus crassicornis,17,"",1
symphoricarpos-albus,Symphoricarpos albus,Plantae,Common Snowberry,1
symphyta-indet,Symphyta indet.,17,Sawfly unknown,1
symplecta-stictica,Symplecta stictica,18,"",1
synanthedon-tipuliformis,Synanthedon tipuliformis,8,Currant Clearwing,1
syrphus-ribesii,Syrphus ribesii,18,Common Flower Fly,1
tachycixius-pilosus,Tachycixius pilosus,15,"",1
tachydromia,Tachydromia,Insecta,"",1
tachysphex-pompiliformis,Tachysphex pompiliformis,17,"",1
tagetes-erecta,Tagetes erecta,10,African Marigold,1
tagetes-patula,Tagetes patula,Plantae,French marigold,1
tagetes-spec,Tagetes spec.,10,"",1
tamarix-spec,Tamarix spec.,10,Salt-cedar unknown,1
taraxacum-spec,Taraxacum spec.,10,Dandelion unknown,1
tasgius,Tasgius,Insecta,"",1
tegenaria-domestica,Tegenaria domestica,Arachnida,Barn Funnel Weaver,1
tegenaria-parietina,Tegenaria parietina,13,"",1
tegenaria-spec,Tegenaria spec.,13,"",1
tenthredo-spec,Tenthredo spec.,17,"",1
tephritis,Tephritis,Insecta,"",1
terellia-tussilaginis,Terellia tussilaginis,18,"",1
tethea-or,Tethea or,8,Poplar Lutestring,1
tetragnatha-montana,Tetragnatha montana,Arachnida,Silver Stretch Spider,1
tetramorium-caespitum,Tetramorium caespitum,17,Pavement ant,1
tetraneura-ulmi,Tetraneura ulmi,15,"",1
tetrix-spec,Tetrix spec.,14,"",1
thaumatomyia-spec,Thaumatomyia spec.,18,"",1
thelaira-nigripes,Thelaira nigripes,18,"",1
thera-britannica-variata,Thera britannica / variata,8,"",1
thera-obeliscata,Thera obeliscata,8,Grey Pine Carpet,1
thereva-cinifera,Thereva cinifera,18,"",1
thinornis-dubius,Thinornis dubius,1,Little Ringed Plover,1
thlaspi-arvense,Thlaspi arvense,10,Field Penny-cress,1
thumatha-senex,Thumatha senex,8,Round-winged Muslin,1
thysanoptera-indet,Thysanoptera indet.,6,Thrips unknown,1
tilia-tomentosa,Tilia tomentosa,10,Silver Lime,1
tinea-pellionella,Tinea pellionella,8,"",1
tinocallis,Tinocallis,Insecta,"",1
tiphia-minuta,Tiphia minuta,17,"",1
tipula-fascipennis,Tipula fascipennis,18,"",1
tipula-lunata,Tipula lunata,18,"",1
tipula-paludosa-oleracea,Tipula paludosa/oleracea,18,"",1
tipulidae-indet,Tipulidae indet.,18,Unidentified Cranefly,1
torilis-japonica,Torilis japonica,10,Upright Hedge-parsley,1
torilis-nodosa,Torilis nodosa,10,Knotted Hedge-parsley,1
tortrix-viridana,Tortrix viridana,8,Green Oak Tortrix,1
trachelospermum-asiaticum,Trachelospermum asiaticum,Plantae,Asiatic jasmine,1
tragopogon-dubius,Tragopogon dubius,10,Greater Goatsbeard,1
trametes-versicolor,Trametes versicolor,11,Turkeytail,1
tremulicerus-tremulae,Tremulicerus tremulae,15,"",1
tremulicerus-vitreus,Tremulicerus vitreus,15,"",1
trichodes-apiarius,Trichodes apiarius,16,Bee-eating Beetle,1
trifolieae,Trifolieae,Plantae,"",1
trifolium-incarnatum,Trifolium incarnatum,10,Crimson Clover,1
trifolium-resupinatum,Trifolium resupinatum,10,Reversed Clover,1
trifolium-rubens,Trifolium rubens,10,"",1
trisetum-flavescens,Trisetum flavescens,10,Yellow Oat-grass,1
triteleia-laxa,Triteleia laxa,10,Triplet Lily,1
trupanea-stellata,Trupanea stellata,18,"",1
turritella-socordia,Turritella socordia,7,"",1
typha-angustifolia,Typha angustifolia,10,Lesser Bulrush,1
ulmus-glabra,Ulmus glabra,Plantae,Wych Elm,1
ulmus-spec,Ulmus spec.,10,Elm unknown,1
uloborus-plumipes,Uloborus plumipes,13,Feather-legged Lace Weaver,1
umbilicus-rupestris,Umbilicus rupestris,10,Navelwort,1
unio-tumidus,Unio tumidus,7,Swollen River Mussel,1
urophora-cardui,Urophora cardui,18,Thistle Gall Fly,1
